Date,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
2000-01-31,-0.044500000000000005,-0.0277,-0.0599,-0.038599999999999995,-0.026000000000000002,-0.0078000000000000005,-0.0179,-0.0315,-0.08869999999999999,-0.026699999999999998
2000-02-29,-0.0259,-0.0684,-0.0883,-0.06269999999999999,-0.10679999999999999,-0.0335,-0.0622,-0.0329,-0.0301,0.2275
2000-03-31,0.0806,0.1387,0.1419,0.09,0.08650000000000001,0.1261,0.11410000000000001,0.076,0.1322,-0.0044
2000-04-30,-0.0231,0.0060999999999999995,0.0431,0.0236,-0.0073,-0.0279,-0.1197,-0.009300000000000001,-0.042199999999999994,-0.0902
2000-05-31,0.0111,0.050499999999999996,0.0599,0.0441,-0.0118,0.0187,0.0274,-0.032,-0.0337,-0.1162
2000-06-30,-0.051500000000000004,-0.061900000000000004,-0.0509,-0.0274,0.0677,-0.035,-0.0352,0.036000000000000004,0.0333,0.12960000000000002
2000-07-31,-0.043,0.0091,-0.0604,-0.0001,-0.0341,-0.0086,-0.0021,0.0132,-0.0058,-0.0327
2000-08-31,0.0703,0.0823,0.0332,0.0429,0.0319,0.0475,0.0241,0.050300000000000004,0.0547,0.14
2000-09-30,-0.1243,-0.0175,-0.0774,0.0358,-0.0263,0.0265,0.0239,0.0064,-0.016399999999999998,-0.1175
2000-10-31,-0.08289999999999999,0.0492,0.027200000000000002,0.07780000000000001,0.011000000000000001,0.0079,0.0014000000000000002,-0.0101,-0.022400000000000003,-0.07629999999999999
2000-11-30,-0.2377,-0.08689999999999999,-0.0356,-0.0473,0.0021,-0.08439999999999999,-0.0384,-0.0659,-0.0969,-0.2445
2000-12-31,-0.10800000000000001,0.0032,0.0037,0.0643,0.0161,0.0668,-0.0415,0.028999999999999998,0.031200000000000002,0.058499999999999996
2001-01-31,0.35960000000000003,0.2576,0.0688,0.1331,0.0336,-0.0141,-0.0066,-0.0331,-0.0688,-0.0581
2001-02-28,-0.19469999999999998,-0.1807,-0.1517,-0.079,-0.051,-0.1199,-0.0356,-0.0165,-0.045899999999999996,-0.042300000000000004
2001-03-31,-0.1761,-0.1074,-0.0717,-0.07339999999999999,-0.0374,-0.062400000000000004,-0.0507,-0.0332,-0.0222,-0.028900000000000002
2001-04-30,0.1483,0.1881,0.08380000000000001,0.09519999999999999,0.0672,0.0281,0.0384,0.0329,0.0437,0.056600000000000004
2001-05-31,-0.059000000000000004,0.005699999999999999,0.010700000000000001,0.0147,0.0223,0.0155,0.0437,0.0294,0.019,0.030600000000000002
2001-06-30,0.0007000000000000001,-0.015300000000000001,-0.0315,-0.034,-0.0039000000000000003,-0.008100000000000001,-0.0264,-0.0192,-0.0217,0.0111
2001-07-31,-0.065,-0.0509,-0.0054,-0.0219,-0.011399999999999999,-0.0070999999999999995,0.0207,0.0155,0.0059,-0.0287
2001-08-31,-0.1444,-0.0741,-0.06570000000000001,-0.0643,-0.0406,-0.024399999999999998,-0.016200000000000003,-0.019299999999999998,-0.039,-0.0329
2001-09-30,-0.22649999999999998,-0.14679999999999999,-0.111,-0.056600000000000004,-0.0418,-0.03,-0.041299999999999996,-0.066,-0.0487,-0.0755
2001-10-31,0.1562,0.047,0.015300000000000001,0.018000000000000002,0.0011,0.0123,-0.0014000000000000002,-0.0068000000000000005,0.0058,0.0219
2001-11-30,0.2018,0.1191,0.0786,0.0719,0.0397,0.0496,0.0558,0.0385,0.0537,0.046799999999999994
2001-12-31,-0.0072,-0.0008,0.0028000000000000004,0.0209,0.022000000000000002,0.044800000000000006,0.022799999999999997,0.0276,0.0353,0.048799999999999996
2002-01-31,-0.011399999999999999,-0.0252,-0.0331,-0.015300000000000001,-0.010700000000000001,0.0087,0.0102,-0.011699999999999999,-0.020099999999999996,-0.0022
2002-02-28,-0.1741,-0.0374,-0.0154,0.0022,0.0,-0.0155,0.0215,0.0042,0.0028000000000000004,-0.0197
2002-03-31,0.0754,0.0379,0.0525,0.0276,0.0453,0.0484,0.0401,0.0366,0.060599999999999994,0.058600000000000006
2002-04-30,-0.1419,-0.0797,-0.0814,-0.0698,-0.051699999999999996,-0.0098,-0.0158,0.0126,-0.0063,-0.0040999999999999995
2002-05-31,-0.0688,-0.0143,-0.0111,-0.0069,0.0026,-0.016399999999999998,0.0101,-0.023,0.0087,-0.025099999999999997
2002-06-30,-0.13949999999999999,-0.08460000000000001,-0.0435,-0.0735,-0.0864,-0.0693,-0.0321,-0.0638,-0.0288,-0.028900000000000002
2002-07-31,-0.0675,-0.09699999999999999,-0.1013,-0.0647,-0.0719,-0.0785,-0.056100000000000004,-0.0672,-0.0675,-0.11869999999999999
2002-08-31,0.0364,-0.024900000000000002,0.0091,0.0155,0.0154,0.008,0.0252,0.0053,0.0183,0.0138
2002-09-30,-0.16510000000000002,-0.1648,-0.121,-0.1263,-0.08070000000000001,-0.0868,-0.0721,-0.07400000000000001,-0.0458,-0.0311
2002-10-31,0.21,0.0932,0.1144,0.09140000000000001,0.0382,0.0393,0.0547,0.039,0.049800000000000004,0.050300000000000004
2002-11-30,0.22949999999999998,0.1168,0.08349999999999999,0.0504,0.027999999999999997,0.0169,0.0308,0.0016,-0.028999999999999998,0.0231
2002-12-31,-0.1517,-0.1213,-0.0823,-0.078,-0.0152,-0.0318,-0.0344,-0.010700000000000001,-0.0004,-0.0175
2003-01-31,-0.037599999999999995,-0.0147,-0.0337,-0.0226,-0.0358,-0.0315,-0.0286,-0.0223,-0.008100000000000001,-0.0131
2003-02-28,0.0129,-0.0255,-0.021,-0.0308,-0.018000000000000002,-0.0064,-0.0282,-0.024900000000000002,-0.013300000000000001,0.0038
2003-03-31,0.0045000000000000005,0.0077,-0.013000000000000001,0.013500000000000002,0.0146,0.0278,0.0077,0.011000000000000001,0.0088,0.036000000000000004
2003-04-30,0.19219999999999998,0.1656,0.1257,0.1325,0.0745,0.0536,0.0724,0.053399999999999996,0.0537,0.0464
2003-05-31,0.21989999999999998,0.1277,0.1363,0.0951,0.062,0.046,0.0461,0.0171,0.0519,0.071
2003-06-30,0.0294,0.0478,0.013999999999999999,0.0207,0.0154,0.0064,0.0001,0.0215,0.011200000000000002,0.018000000000000002
2003-07-31,0.045899999999999996,0.048600000000000004,0.044500000000000005,0.0337,0.0129,0.0084,0.0092,0.038599999999999995,0.0187,0.0352
2003-08-31,0.0369,0.0432,0.023399999999999997,0.0168,0.008199999999999999,0.0483,0.016,0.015,0.021400000000000002,0.0395
2003-09-30,-0.0052,-0.010700000000000001,-0.0079,-0.0045000000000000005,0.0028000000000000004,-0.0241,-0.0315,-0.0137,-0.0121,-0.013999999999999999
2003-10-31,0.0395,0.050300000000000004,0.0537,0.0521,0.0108,0.071,0.065,0.08960000000000001,0.08460000000000001,0.1162
2003-11-30,0.0058,0.019299999999999998,0.0026,0.0195,0.0176,0.0027,0.0106,0.0079,0.0409,0.0316
2003-12-31,0.0877,0.0746,0.061,0.0489,0.0454,0.0338,0.035,0.0177,0.0177,-0.0125
2004-01-31,0.0236,0.009899999999999999,0.0104,0.0381,0.0096,0.0232,0.0223,0.0213,0.0334,0.037000000000000005
2004-02-29,0.020099999999999996,0.0148,0.011899999999999999,0.0255,0.0264,0.0178,0.0092,0.0215,-0.0049,-0.0015
2004-03-31,-0.0184,-0.029300000000000003,-0.0092,0.0004,-0.0203,-0.0005,-0.0105,-0.0072,0.0077,-0.0147
2004-04-30,0.025099999999999997,-0.0013,0.0006,-0.0141,-0.011899999999999999,-0.0338,-0.0338,-0.060899999999999996,-0.0323,-0.0774
2004-05-31,-0.0018,0.0088,0.018500000000000003,0.0203,-0.004,0.0203,0.034,0.005699999999999999,0.0178,0.0274
2004-06-30,0.011000000000000001,0.0075,0.0255,0.0115,-0.0025,0.022000000000000002,0.040999999999999995,0.046,0.0501,0.0178
2004-07-31,-0.0433,-0.028399999999999998,-0.021,-0.0472,-0.0194,-0.0322,-0.0547,-0.0601,-0.0654,-0.0868
2004-08-31,-0.0009,0.0151,0.0016,0.0064,-0.0040999999999999995,0.0103,-0.0063,-0.0040999999999999995,-0.005,-0.022000000000000002
2004-09-30,0.022000000000000002,-0.009899999999999999,-0.0077,0.0092,0.0028000000000000004,0.0085,0.0379,0.0464,0.0739,0.0728
2004-10-31,0.0556,0.025699999999999997,0.011899999999999999,0.0113,0.0212,-0.011200000000000002,0.0077,0.0066,0.0235,0.022400000000000003
2004-11-30,0.044000000000000004,0.0132,0.0374,0.0567,0.039,0.0441,0.0583,0.0579,0.0718,0.0986
2004-12-31,0.0732,0.0297,0.046900000000000004,0.0483,0.0338,0.0358,0.030899999999999997,0.0199,0.009300000000000001,0.0207
2005-01-31,-0.0677,-0.0206,-0.0315,-0.019,-0.0175,-0.01,-0.036000000000000004,0.0009,-0.0216,-0.0409
2005-02-28,0.0407,0.0036,-0.0076,0.0009,0.0046,0.0077,0.0808,0.0483,0.0216,0.0545
2005-03-31,-0.0291,-0.0298,-0.0173,-0.0213,-0.0077,-0.0037,-0.014499999999999999,-0.024399999999999998,-0.0108,-0.015300000000000001
2005-04-30,-0.0329,-0.006999999999999999,-0.0275,-0.0268,-0.0095,-0.0121,-0.019799999999999998,-0.016399999999999998,-0.050300000000000004,-0.0645
2005-05-31,0.058899999999999994,0.053899999999999997,0.0179,0.0291,0.0424,0.0403,0.0194,0.0487,0.0292,0.0642
2005-06-30,0.0024,-0.0001,0.002,0.0025,-0.0066,-0.004699999999999999,0.005,0.0161,0.0302,0.0553
2005-07-31,0.0708,0.0417,0.035,0.045,0.0258,0.0412,0.0329,0.0368,0.0587,0.056799999999999996
2005-08-31,-0.030299999999999997,-0.032,0.0040999999999999995,-0.0152,-0.023700000000000002,-0.0037,-0.0038,0.0049,0.012,0.0124
2005-09-30,-0.0207,-0.005,-0.0012,-0.0089,0.0095,0.0252,0.008,0.023799999999999998,0.0326,0.0387
2005-10-31,-0.0239,0.008199999999999999,-0.0062,-0.0006,-0.0027,-0.035,-0.049699999999999994,-0.0166,-0.0437,-0.0274
2005-11-30,0.0354,0.0377,0.0355,0.0471,0.0471,0.0281,0.036699999999999997,0.0545,0.0353,0.030899999999999997
2005-12-31,-0.0031,0.0126,-0.013500000000000002,-0.0067,-0.0008,-0.0043,0.0083,-0.0017000000000000001,0.011200000000000002,0.0184
2006-01-31,0.0669,0.047400000000000005,0.0218,-0.010700000000000001,0.0167,0.0254,0.0341,0.0277,0.0594,0.0984
2006-02-28,-0.0106,0.008199999999999999,0.0113,0.0068000000000000005,0.0177,-0.0008,0.016200000000000003,0.0009,-0.0039000000000000003,-0.0533
2006-03-31,0.0187,0.018799999999999997,0.026699999999999998,0.0058,0.0072,0.0079,0.0143,0.021099999999999997,0.023799999999999998,0.045700000000000005
2006-04-30,0.009000000000000001,0.0,0.0139,0.0141,0.0060999999999999995,0.0203,0.0079,0.010700000000000001,0.0025,0.019
2006-05-31,-0.0168,-0.0151,-0.008199999999999999,-0.024399999999999998,-0.0281,-0.0349,-0.041100000000000005,-0.0409,-0.057300000000000004,-0.07980000000000001
2006-06-30,-0.003,-0.0101,-0.0086,0.0052,0.0005,0.0098,0.0031,0.005699999999999999,0.0113,-0.0049
2006-07-31,-0.049,0.0195,0.0015,-0.0179,0.0175,0.024,-0.001,-0.0027,-0.0321,-0.063
2006-08-31,0.067,0.0258,0.0435,0.0375,0.045899999999999996,0.0123,0.0183,0.0141,0.012199999999999999,-0.0196
2006-09-30,0.0225,0.0215,0.0341,0.023700000000000002,0.032400000000000005,0.0113,0.0176,0.015300000000000001,0.0229,0.021099999999999997
2006-10-31,0.0572,0.046799999999999994,0.0358,0.0432,0.0341,0.0329,0.013999999999999999,0.046799999999999994,0.0246,0.0641
2006-11-30,0.0537,0.0254,0.0271,0.0172,0.018500000000000003,0.0015,0.0236,0.018500000000000003,0.0286,0.0218
2006-12-31,-0.008100000000000001,-0.0026,0.0085,0.0177,0.0259,0.023799999999999998,0.0083,0.0095,0.011200000000000002,0.0084
2007-01-31,0.027200000000000002,0.0258,0.0097,0.004,0.0209,0.0189,0.0173,0.025699999999999997,0.0155,0.0292
2007-02-28,-0.0019,0.012,-0.0173,-0.0025,-0.0227,-0.0102,-0.0171,-0.0279,-0.0163,-0.0279
2007-03-31,-0.0123,-0.0078000000000000005,0.0058,0.0037,0.0031,-0.0009,0.0132,0.0239,0.0379,0.021400000000000002
2007-04-30,0.0388,0.043899999999999995,0.045,0.0351,0.0493,0.043899999999999995,0.0317,0.042699999999999995,0.040999999999999995,0.022099999999999998
2007-05-31,0.032400000000000005,0.039599999999999996,0.0355,0.0378,0.0268,0.0455,0.0304,0.040999999999999995,0.0271,0.0538
2007-06-30,-0.0298,-0.026099999999999998,-0.0026,-0.016200000000000003,-0.019,-0.0113,-0.0192,-0.0124,-0.0213,-0.0118
2007-07-31,-0.044800000000000006,-0.0501,-0.06559999999999999,-0.0358,-0.023,-0.0394,-0.0453,-0.0126,-0.028300000000000002,-0.0149
2007-08-31,-0.011000000000000001,0.0278,0.019799999999999998,0.01,0.011399999999999999,0.0048,0.016200000000000003,0.0217,0.0207,0.0187
2007-09-30,0.0165,0.011200000000000002,0.011899999999999999,0.0172,0.0256,0.0346,0.038900000000000004,0.059800000000000006,0.0435,0.0776
2007-10-31,-0.0106,-0.0124,-0.013999999999999999,0.0005,0.0412,0.0089,0.0378,0.035,0.0151,0.0762
2007-11-30,-0.13390000000000002,-0.0867,-0.0392,-0.0431,-0.0591,-0.021099999999999997,-0.024900000000000002,-0.0356,-0.0529,-0.059699999999999996
2007-12-31,-0.0694,-0.0684,-0.059699999999999996,-0.0387,-0.020099999999999996,-0.011899999999999999,0.0027,0.0218,0.0069,0.0431
2008-01-31,0.0383,-0.018799999999999997,-0.026600000000000002,0.001,-0.019,-0.045700000000000005,-0.0636,-0.0713,-0.0872,-0.1318
2008-02-29,-0.12480000000000001,-0.0791,-0.0832,-0.0761,-0.0166,-0.024900000000000002,-0.0269,-0.0325,-0.0038,0.020499999999999997
2008-03-31,-0.1007,-0.0581,-0.0414,-0.0032,-0.0167,-0.0183,0.014499999999999999,0.0125,-0.0034999999999999996,-0.0067
2008-04-30,0.0809,0.0796,0.055,0.0471,0.049699999999999994,0.0109,0.0083,0.0466,0.056900000000000006,0.0968
2008-05-31,-0.0259,-0.0060999999999999995,-0.0088,0.009899999999999999,-0.0055000000000000005,0.032400000000000005,0.0245,0.0219,0.0163,0.0692
2008-06-30,-0.1929,-0.1925,-0.1732,-0.12380000000000001,-0.09269999999999999,-0.102,-0.0928,-0.0696,-0.048,-0.0049
2008-07-31,0.0039000000000000003,0.0087,0.0774,0.0394,0.025099999999999997,0.0342,-0.0125,0.0066,-0.030899999999999997,-0.0934
2008-08-31,-0.022400000000000003,0.0317,0.0649,0.024700000000000003,0.0327,0.024,0.0311,0.008100000000000001,0.0083,-0.0288
2008-09-30,-0.2605,-0.129,-0.0667,-0.10220000000000001,-0.0713,-0.0601,-0.0263,-0.07150000000000001,-0.12029999999999999,-0.1523
2008-10-31,-0.2591,-0.2515,-0.2314,-0.1861,-0.1416,-0.1677,-0.15039999999999998,-0.1435,-0.1609,-0.152
2008-11-30,-0.193,-0.1814,-0.1253,-0.0545,-0.0902,-0.0738,-0.008100000000000001,-0.0546,-0.0864,-0.0753
2008-12-31,0.042300000000000004,0.0907,0.044500000000000005,0.0361,0.0258,0.0139,0.0232,-0.0074,0.006500000000000001,0.008
2009-01-31,-0.0723,-0.09449999999999999,-0.0632,-0.0823,-0.1264,-0.08199999999999999,-0.050199999999999995,-0.081,-0.058600000000000006,-0.1202
2009-02-28,-0.259,-0.16219999999999998,-0.0947,-0.1666,-0.08810000000000001,-0.08560000000000001,-0.0986,-0.09390000000000001,-0.114,-0.0557
2009-03-31,0.4465,0.1451,0.1507,0.1167,0.1298,0.1092,0.09519999999999999,0.0888,0.0425,0.0547
2009-04-30,0.4506,0.36060000000000003,0.3287,0.215,0.2137,0.1551,0.0975,0.0462,0.0296,-0.0012
2009-05-31,0.2321,0.1643,0.1124,0.09960000000000001,0.08990000000000001,0.0699,0.0195,0.044500000000000005,0.0139,0.0177
2009-06-30,-0.0611,-0.0174,-0.0673,-0.0118,-0.0023,0.011699999999999999,0.0168,0.0098,0.0179,0.030600000000000002
2009-07-31,0.1245,0.1303,0.107,0.1094,0.09949999999999999,0.08220000000000001,0.06,0.061799999999999994,0.0689,0.056299999999999996
2009-08-31,0.25129999999999997,0.0944,0.0471,0.052000000000000005,0.038599999999999995,0.0286,0.0274,0.0199,0.0218,0.002
2009-09-30,0.0888,0.0916,0.0588,0.049,0.0382,0.0574,0.0259,0.0286,0.0339,0.046799999999999994
2009-10-31,-0.1333,-0.0669,-0.0398,-0.013999999999999999,-0.026000000000000002,-0.009000000000000001,-0.011899999999999999,-0.019299999999999998,-0.0077,-0.0383
2009-11-30,0.0492,0.07,0.052300000000000006,0.0643,0.0487,0.0567,0.0495,0.0482,0.056100000000000004,0.0649
2009-12-31,0.0129,-0.014499999999999999,0.0213,0.0322,0.0337,0.045700000000000005,0.0415,0.04650000000000001,0.0552,0.0536
2010-01-31,0.021099999999999997,-0.013999999999999999,-0.0005,-0.0248,-0.0163,-0.0436,-0.049100000000000005,-0.0599,-0.0794,-0.0664
2010-02-28,0.0143,0.0159,0.018799999999999997,0.0158,0.030699999999999998,0.049100000000000005,0.0554,0.0408,0.0604,0.08449999999999999
2010-03-31,0.0495,0.0493,0.0449,0.049800000000000004,0.0546,0.0513,0.0872,0.1125,0.1017,0.0864
2010-04-30,0.0069,0.0070999999999999995,0.0271,-0.0001,0.012,0.0168,0.0275,0.0623,0.035699999999999996,0.0684
2010-05-31,-0.0862,-0.0755,-0.0786,-0.06269999999999999,-0.0794,-0.0885,-0.0808,-0.083,-0.07429999999999999,-0.09910000000000001
2010-06-30,-0.0647,-0.0361,-0.039900000000000005,-0.029900000000000003,-0.053099999999999994,-0.0788,-0.0729,-0.0664,-0.067,-0.10859999999999999
2010-07-31,0.0694,0.073,0.0722,0.057,0.0557,0.064,0.0898,0.0784,0.0766,0.10210000000000001
2010-08-31,-0.042800000000000005,-0.0438,-0.0449,-0.0616,-0.0414,-0.048600000000000004,-0.0334,-0.042199999999999994,-0.059699999999999996,-0.0555
2010-09-30,0.10980000000000001,0.0859,0.0967,0.086,0.0973,0.07400000000000001,0.09789999999999999,0.09789999999999999,0.1247,0.1366
2010-10-31,0.0395,0.026600000000000002,0.0171,0.0571,0.0371,0.042300000000000004,0.028999999999999998,0.0292,0.050199999999999995,0.054000000000000006
2010-11-30,-0.011200000000000002,-0.0031,0.0034000000000000002,-0.0118,0.0032,0.0042,0.0001,0.0236,0.0154,0.0617
2010-12-31,0.1389,0.08199999999999999,0.0693,0.06570000000000001,0.0732,0.0483,0.0557,0.06559999999999999,0.059699999999999996,0.0435
2011-01-31,0.040999999999999995,0.028999999999999998,0.0068000000000000005,0.0331,0.0264,0.0007000000000000001,0.0184,-0.006999999999999999,0.025099999999999997,0.0063
2011-02-28,0.0115,0.0079,0.031200000000000002,0.042,0.0325,0.0587,0.0576,0.038900000000000004,0.0338,0.0398
2011-03-31,-0.0172,-0.009899999999999999,-0.0029,-0.0033,0.015600000000000001,0.0067,0.0036,0.015300000000000001,0.0118,0.029300000000000003
2011-04-30,-0.0013,0.043899999999999995,0.023799999999999998,0.0179,0.0358,0.0355,0.0393,0.0274,0.015600000000000001,0.032400000000000005
2011-05-31,-0.0359,-0.0102,0.0019,-0.0178,-0.0079,-0.0089,-0.0111,-0.0154,-0.015,-0.028999999999999998
2011-06-30,-0.0528,-0.015600000000000001,-0.025099999999999997,-0.0178,-0.011399999999999999,-0.0209,-0.0118,-0.0204,-0.0083,-0.0001
2011-07-31,-0.0415,-0.013600000000000001,-0.0109,-0.0388,-0.041100000000000005,-0.0007000000000000001,-0.0336,-0.0355,-0.0152,-0.015600000000000001
2011-08-31,-0.139,-0.07780000000000001,-0.0382,-0.045700000000000005,-0.0482,-0.0369,-0.0588,-0.0596,-0.078,-0.0863
2011-09-30,-0.1183,-0.07730000000000001,-0.0653,-0.051100000000000007,-0.0687,-0.0691,-0.0636,-0.09269999999999999,-0.0756,-0.1566
2011-10-31,0.15839999999999999,0.16760000000000003,0.1321,0.1231,0.1124,0.08560000000000001,0.1131,0.0916,0.1018,0.1444
2011-11-30,-0.077,-0.0415,-0.0060999999999999995,-0.0187,0.009899999999999999,0.0062,-0.004699999999999999,0.0191,0.0132,-0.013600000000000001
2011-12-31,-0.031200000000000002,-0.0174,-0.0202,0.0169,-0.004699999999999999,0.0281,0.0148,-0.0007000000000000001,0.0173,-0.0118
2012-01-31,0.1845,0.10210000000000001,0.10800000000000001,0.08070000000000001,0.0803,0.038900000000000004,0.0315,0.0219,0.0349,0.0263
2012-02-29,0.0638,0.0519,0.0453,0.0382,0.0369,0.05,0.0369,0.027200000000000002,0.0564,0.057999999999999996
2012-03-31,0.0414,0.022799999999999997,0.022099999999999998,0.0191,0.0354,0.0155,0.024700000000000003,0.0323,0.0405,0.0508
2012-04-30,-0.0632,-0.0616,-0.0167,-0.0216,-0.015600000000000001,-0.0083,-0.0015,0.0005,0.0021,0.0037
2012-05-31,-0.1307,-0.1265,-0.1107,-0.0819,-0.0653,-0.06570000000000001,-0.056600000000000004,-0.0203,-0.050499999999999996,-0.047400000000000005
2012-06-30,0.0355,0.029300000000000003,0.0475,0.0398,0.0346,0.0447,0.0611,0.0359,0.041299999999999996,0.019299999999999998
