Date,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
2000-01-31,-0.0152,-0.0449,-0.0536,-0.0207,-0.0165,-0.0438,-0.039900000000000005,-0.0684,-0.0291,-0.0147,-0.0076,-0.0241,0.0129,-0.0895,-0.0605,-0.0066,-0.0779,-0.057999999999999996
2000-02-29,-0.0258,-0.0074,0.0661,0.006500000000000001,-0.0079,-0.0208,0.021400000000000002,0.0587,0.0587,-0.030699999999999998,-0.0696,0.0446,-0.011899999999999999,-0.0288,-0.0215,0.08800000000000001,0.060599999999999994,0.0567
2000-03-31,0.0834,0.07780000000000001,0.0719,0.056299999999999996,0.0917,0.0713,0.07690000000000001,0.079,0.0319,0.07519999999999999,0.1232,0.0678,0.1047,0.0407,0.0956,0.051100000000000007,0.11630000000000001,0.038599999999999995
2000-04-30,-0.0276,-0.0034999999999999996,-0.0953,-0.0216,-0.031,0.0007000000000000001,0.0022,-0.12539999999999998,-0.0571,0.0049,-0.035699999999999996,-0.0273,-0.0006,0.0019,0.0070999999999999995,-0.0048,-0.1501,-0.0967
2000-05-31,-0.026000000000000002,-0.0095,-0.0611,-0.004699999999999999,-0.0384,-0.006,-0.018799999999999997,-0.0688,-0.037599999999999995,0.0202,-0.0547,-0.0255,0.0031,-0.0148,-0.0039000000000000003,-0.0407,-0.0876,-0.0483
2000-06-30,0.0044,0.0197,0.0765,0.0073,0.0121,0.0036,0.0564,0.0774,0.0437,-0.018500000000000003,0.0004,0.021,0.016,-0.0087,0.0444,0.07429999999999999,0.1073,0.045899999999999996
2000-07-31,0.004699999999999999,-0.0101,-0.0335,-0.015300000000000001,0.0215,-0.0148,-0.024399999999999998,-0.0319,-0.0184,-0.0123,0.0276,0.0159,-0.009899999999999999,-0.0195,-0.0144,-0.0421,-0.0207,-0.0375
2000-08-31,0.0851,0.05,0.0913,0.073,0.0621,0.04,0.0728,0.0947,0.0696,0.0762,0.09820000000000001,0.0279,0.060599999999999994,0.0199,0.0733,0.0718,0.114,0.0849
2000-09-30,-0.0216,-0.0034000000000000002,-0.0872,-0.023,-0.0121,-0.0012,-0.0040999999999999995,-0.1024,0.0034999999999999996,-0.0483,-0.020099999999999996,-0.0040999999999999995,-0.016200000000000003,0.0141,-0.0062,-0.0004,-0.1594,-0.0724
2000-10-31,-0.0037,0.0076,-0.0472,-0.0034000000000000002,0.010700000000000001,0.013000000000000001,-0.011699999999999999,-0.0524,-0.018799999999999997,0.011899999999999999,-0.0040999999999999995,0.0254,-0.0087,0.0344,-0.006999999999999999,-0.0202,-0.0359,-0.0604
